production_id,production_date,site,machine_id,operator_team,temperature,pressure,production_duration,material_type,quality_score,defect,production_month,production_day,production_weekday,production_hour,production_shift,temperature_deviation,pressure_deviation
PRD-000001,2024-01-01 09:05:00,Lyon,M-03,Team A,62.21,5.06,51.9,Ceramic,89.7,0,1,1,Monday,9,Morning,7.789999999999999,0.05999999999999961
PRD-000002,2024-01-01 18:42:00,Lyon,M-01,Team C,75.38,4.85,43.05,Composite,94.76,0,1,1,Monday,18,Afternoon,5.3799999999999955,0.15000000000000036
PRD-000003,2024-01-01 21:36:00,Lyon,M-03,Team C,78.15,5.87,38.82,Alloy,86.55,0,1,1,Monday,21,Afternoon,8.150000000000006,0.8700000000000001
PRD-000004,2024-01-01 21:51:00,Limoges,M-05,Team A,67.73,3.81,43.55,Ceramic,96.86,0,1,1,Monday,21,Afternoon,2.269999999999996,1.19
PRD-000005,2024-01-02 02:53:00,Lyon,M-03,Team A,74.71,5.83,39.44,Ceramic,90.7,0,1,2,Tuesday,2,Night,4.709999999999994,0.8300000000000001
PRD-000006,2024-01-02 05:05:00,Besancon,M-07,Team B,71.57,4.43,39.83,Composite,81.29,1,1,2,Tuesday,5,Night,1.5699999999999932,0.5700000000000003
PRD-000007,2024-01-02 05:06:00,Besancon,M-07,Team C,73.96,5.14,54.8,Precious metal,94.54,0,1,2,Tuesday,5,Night,3.9599999999999937,0.13999999999999968
PRD-000008,2024-01-02 16:26:00,Besancon,M-08,Team C,63.23,4.62,44.96,Composite,76.94,1,1,2,Tuesday,16,Afternoon,6.770000000000003,0.3799999999999999
PRD-000009,2024-01-03 05:55:00,Limoges,M-05,Team C,73.44,4.4,50.67,Composite,90.24,0,1,3,Wednesday,5,Night,3.4399999999999977,0.5999999999999996
PRD-000010,2024-01-03 08:51:00,Besancon,M-07,Team A,64.17,5.85,47.13,Composite,90.69,0,1,3,Wednesday,8,Morning,5.829999999999998,0.8499999999999996
PRD-000011,2024-01-03 22:12:00,Lyon,M-02,Team A,60.88,6.21,38.1,Composite,91.59,0,1,3,Wednesday,22,Night,9.119999999999997,1.21
PRD-000012,2024-01-04 04:43:00,Lyon,M-02,Team B,69.77,4.86,34.81,Ceramic,90.75,0,1,4,Thursday,4,Night,0.23000000000000398,0.13999999999999968
PRD-000013,2024-01-04 06:50:00,Lyon,M-02,Team A,69.3,5.22,35.59,Alloy,89.85,0,1,4,Thursday,6,Morning,0.7000000000000028,0.21999999999999975
PRD-000014,2024-01-04 10:33:00,Besancon,M-07,Team C,74.12,5.04,37.63,Composite,97.16,0,1,4,Thursday,10,Morning,4.1200000000000045,0.040000000000000036
PRD-000015,2024-01-04 11:04:00,Limoges,M-04,Team A,65.42,6.12,37.01,Composite,88.73,0,1,4,Thursday,11,Morning,4.579999999999998,1.12
PRD-000016,2024-01-04 13:40:00,Besancon,M-07,Team B,82.51,3.63,55.85,Ceramic,74.49,1,1,4,Thursday,13,Morning,12.510000000000005,1.37
PRD-000017,2024-01-04 20:58:00,Lyon,M-01,Team B,70.34,5.25,53.76,Precious metal,92.31,0,1,4,Thursday,20,Afternoon,0.3400000000000034,0.25
PRD-000018,2024-01-04 23:07:00,Besancon,M-08,Team B,70.41,4.53,60.7,Composite,91.6,0,1,4,Thursday,23,Night,0.4099999999999966,0.46999999999999975
PRD-000019,2024-01-04 23:53:00,Limoges,M-04,Team C,69.83,3.47,41.89,Ceramic,95.94,0,1,4,Thursday,23,Night,0.1700000000000017,1.5299999999999998
PRD-000020,2024-01-05 17:10:00,Limoges,M-04,Team B,74.02,4.77,55.78,Alloy,91.43,0,1,5,Friday,17,Afternoon,4.019999999999996,0.23000000000000043
PRD-000021,2024-01-05 18:04:00,Besancon,M-07,Team D,75.7,6.2,55.73,Alloy,74.67,1,1,5,Friday,18,Afternoon,5.700000000000003,1.2000000000000002
PRD-000022,2024-01-06 03:58:00,Lyon,M-03,Team D,74.3,4.57,46.14,Ceramic,91.18,0,1,6,Saturday,3,Night,4.299999999999997,0.4299999999999997
PRD-000023,2024-01-06 08:08:00,Lyon,M-02,Team D,74.23,5.51,51.79,Ceramic,75.98,1,1,6,Saturday,8,Morning,4.230000000000004,0.5099999999999998
PRD-000024,2024-01-06 08:59:00,Limoges,M-04,Team C,59.31,5.78,52.93,Alloy,73.06,1,1,6,Saturday,8,Morning,10.689999999999998,0.7800000000000002
PRD-000025,2024-01-06 11:31:00,Lyon,M-02,Team C,61.11,4.99,42.53,Alloy,89.82,0,1,6,Saturday,11,Morning,8.89,0.009999999999999787
PRD-000026,2024-01-06 17:35:00,Lyon,M-01,Team C,69.1,5.08,41.91,Alloy,98.6,0,1,6,Saturday,17,Afternoon,0.9000000000000057,0.08000000000000007
PRD-000027,2024-01-06 22:20:00,Lyon,M-01,Team B,68.47,3.88,37.98,Composite,94.0,0,1,6,Saturday,22,Night,1.5300000000000011,1.12
PRD-000028,2024-01-07 05:44:00,Lyon,M-01,Team B,72.52,4.53,24.12,Composite,91.51,0,1,7,Sunday,5,Night,2.519999999999996,0.46999999999999975
PRD-000029,2024-01-07 06:21:00,Besancon,M-08,Team C,69.3,5.59,48.56,Ceramic,95.6,0,1,7,Sunday,6,Morning,0.7000000000000028,0.5899999999999999
PRD-000030,2024-01-07 18:13:00,Limoges,M-04,Team A,71.83,5.04,37.32,Alloy,88.63,0,1,7,Sunday,18,Afternoon,1.8299999999999983,0.040000000000000036
PRD-000031,2024-01-07 21:26:00,Lyon,M-02,Team A,63.92,5.24,34.4,Alloy,81.95,1,1,7,Sunday,21,Afternoon,6.079999999999998,0.2400000000000002
PRD-000032,2024-01-08 05:43:00,Lyon,M-03,Team D,71.94,5.09,46.38,Alloy,97.08,0,1,8,Monday,5,Night,1.9399999999999977,0.08999999999999986
PRD-000033,2024-01-08 10:33:00,Limoges,M-06,Team A,64.03,6.42,36.39,Ceramic,82.78,1,1,8,Monday,10,Morning,5.969999999999999,1.42
PRD-000034,2024-01-08 19:56:00,Limoges,M-05,Team B,72.21,4.72,49.45,Alloy,95.64,0,1,8,Monday,19,Afternoon,2.2099999999999937,0.28000000000000025
PRD-000035,2024-01-09 19:50:00,Besancon,M-07,Team C,62.93,6.04,46.87,Alloy,91.5,0,1,9,Tuesday,19,Afternoon,7.07,1.04
PRD-000036,2024-01-09 23:32:00,Besancon,M-07,Team A,74.51,5.09,42.8,Precious metal,96.39,0,1,9,Tuesday,23,Night,4.510000000000005,0.08999999999999986
PRD-000037,2024-01-10 02:28:00,Lyon,M-01,Team D,61.86,6.1,47.49,Ceramic,73.85,1,1,10,Wednesday,2,Night,8.14,1.0999999999999996
PRD-000038,2024-01-11 03:39:00,Lyon,M-02,Team A,68.41,4.2,33.48,Composite,91.14,0,1,11,Thursday,3,Night,1.5900000000000034,0.7999999999999998
